BIO SCI 4906  Topics in Medical Technology (LAB 1.0-8.0)
BIO SCI 5000  Special Problems (IND 0.0-6.0)
BIO SCI 5001  Special Topics (LAB 0.0 and LEC 0.0)
BIO SCI 5010  Graduate Seminar (RSD 1.0)
BIO SCI 5020  Data Analysis and Presentation (LEC 1.0)
BIO SCI 5040  Oral Examination (IND 0.0)
BIO SCI 5099  Graduate Research (IND 0.0-15)
BIO SCI 5210  Biomaterials I (LEC 3.0)
BIO SCI 5240  Tissue Engineering (LEC 3.0)
BIO SCI 5313  Pathogenic Microbiology (LEC 3.0)
BIO SCI 5323  Bioinformatics (LEC 3.0)
BIO SCI 5343  Biology of Aging (LEC 3.0)
BIO SCI 5353  Developmental Biology (LEC 3.0)
BIO SCI 5393  Immunology (LEC 3.0)
BIO SCI 5423  Advanced Biodiversity (LEC 3.0)
BIO SCI 5443  Population and Conservation Genetics (LEC 3.0)
BIO SCI 5453  Forest Insect Diversity & Ecology (LAB 2.0)
BIO SCI 5493  General Virology (LEC 3.0)
BIO SCI 5523  Ichthyology (LAB 1.0 and LEC 3.0)
BIO SCI 5533  Pharmacology (LEC 3.0)
BUS 1000  Special Problems (IND 0.0-6.0)
BUS 1001  Special Topics (IND 0.0-6.0)
BUS 1110  Introduction to Management and Entrepreneurship (LEC 3.0)
BUS 1210  Financial Accounting (LEC 3.0)
BUS 1414  The Inclusive Workplace (LEC 3.0)
BUS 1810  Introduction to College Success (LEC 1.0)
BUS 1811  Introduction to College Success II (LAB 0.50)
BUS 2000  Special Problems (IND 0.0-6.0)
BUS 2001  Special Topics (LEC 0.0-6.0)
BUS 2002  Cooperative Training in Business (IND 0.0-6.0)
BUS 2910  Business Law (LEC 3.0)
BUS 3000  Special Problems (IND 0.0-6.0)
BUS 3105  Management and Business Law Essentials (LEC 1.5)
BUS 3115  Introduction to Teambuilding and Leadership (LEC 3.0)
BUS 3205  Accounting Essentials (LEC 1.5)
BUS 3220  Managerial Accounting (LEC 3.0)
BUS 3305  Operations Management Essentials (LEC 1.5)
BUS 3705  Management Information Systems Essentials (LEC 1.5)
BUS 3805  Mathematics and Statistics Essentials (LEC 1.5)
BUS 4000  Special Problems (IND 0.0-6.0)
BUS 4001  Special Topics (LEC 0.0-6.0)
BUS 4099  Undergraduate Research (IND 0.0-6.0)
BUS 4675  International Business (LEC 3.0)
BUS 4970  Senior Business Design I (LEC 1.0)
BUS 4980  Senior Business Design II (LEC 2.0)
BUS 5000  Special Problems (IND 0.0-6.0)
BUS 5001  Special Topics (LEC 0.0-6.0)
BUS 5040  Oral Examination (IND 0.0)
BUS 5080  Practicum (IND 0.0-6.0)
BUS 5085  Internship (IND 0.0-6.0)
BUS 5099  Research (IND 0.0-9.0)
BUS 5105  Graduate Management and Business Law Essentials (LEC 1.5)
BUS 5111  Business Negotiations (LEC 3.0)
BUS 5115  Introduction to Individual and Group Dynamics in Business (LEC 3.0)
BUS 5150  Customer Focus and Satisfaction (LEC 3.0)
BUS 5205  Graduate Accounting Essentials (LEC 1.5)
BUS 5230  Financial Statement Analysis (LEC 3.0)
BUS 5305  Graduate Operations Management Essentials (LEC 1.5)
BUS 5360  Business Operations (LEC 3.0)
BUS 5470  Human Resource Management (LEC 3.0)
BUS 5580  Strategic Management (LEC 3.0)
BUS 5705  Graduate Management Information Systems Essentials (LEC 1.5)
BUS 5730  Machine Learning and Artificial Intelligence for Business (LEC 3.0)
BUS 5805  Graduate Mathematics and Statistics Essentials (LEC 1.5)
BUS 5896  Project Research (IND 0.0-9.0)
BUS 5910  Privacy and Information Security (LEC 3.0)
BUS 5980  Business Models for Entrepreneurship and Innovation (LEC 3.0)
CER ENG 2002  Cooperative Training (IND 1.0-3.0)
CER ENG 2110  Atomic Structure Of Crystalline Ceramics (LEC 3.0)
CER ENG 2120  Introduction To Glass Science And Technology (LEC 3.0)
CER ENG 2210  Ceramics In The Modern World (LEC 2.0)
CER ENG 2315  Ceramic Materials Laboratory I-Characterization Of Materials (LAB 2.0)
CER ENG 2325  Ceramic Materials Laboratory II Glass And Ceramic Processing (LAB 2.0)
CER ENG 3001  Special Topics (LAB 0.0 and LEC 0.0)
CER ENG 3110  Introduction to Biomedical Engineering (LEC 3.0)
CER ENG 3210  Thermal Processes In Ceramics (LEC 3.0)
CER ENG 3220  Phase Equilibria (LEC 3.0)
